Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;RS;VIAMAO;MARILENE DE SOUZA OLIVEIRA; 07.104.890/0001-20;RUA TELMO DE GODOY PINTO;1500;;MENDANHA;94410-055;GLP;06/12/2023;110;;R$ / 13 kg;BRANCA
S;RS;BAGE;ISRAEL ARAUJO ME; 93.827.293/0001-66;AVENIDA ESPANHA;1663;;VILA HIDRÁULICA;96408-000;GLP;06/12/2023;120;;R$ / 13 kg;BRANCA
SE;SP;JUNDIAI;OLIVEIRA & SILVÉRIO GÁS LTDA - ME; 06.298.422/0001-71;RUA PEDRO AMÉRICO;16;FRENTE;REC IV CENTENÁRIO;13211-752;GLP;07/12/2023;110;;R$ / 13 kg;BRANCA
SE;SP;VINHEDO;VINHEGAS COMERCIO DE DERIVADOS DE PETROLEO LTDA - ME; 08.307.968/0001-77;AV INDEPENDENCIA;1221;;JARDIM PRIMAVERA;13280-000;GLP;07/12/2023;99,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTA BARBARA D'OESTE;ALVES & BATISTA COMERCIO DE GAS LTDA; 03.201.742/0001-73;RUA DO ALUMINIO;1422;;JARDIM PANTANO;13456-427;GLP;06/12/2023;89,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PE;JABOATAO DOS GUARARAPES;VAREJAO SERTANEJO GAS EIRELI; 06.060.346/0001-61;RUA RECIFE;25;A;CAJUEIRO SECO;54330-250;GLP;04/12/2023;114;;R$ / 13 kg;LIQUIGÁS
SE;SP;PRESIDENTE PRUDENTE;M A MAGOSSO GÁS - ME; 04.669.773/0001-16;RUA DOZE DE OUTUBRO;2289;;VILA DO ESTÁDIO;19015-090;GLP;06/12/2023;100;;R$ / 13 kg;ULTRAGAZ
SE;SP;PRESIDENTE PRUDENTE;ANTONIO DE OLIVEIRA CARDOSO PRESIDENTE PRUDENTE; 04.806.390/0001-42;RUA PADRE JOÃO GOETZ;926;;JARDIM CINQUENTENÁRIO;19061-460;GLP;07/12/2023;105;;R$ / 13 kg;ULTRAGAZ
S;RS;LAJEADO;SUPERMERCADO CONVENTOS LTDA.; 02.051.293/0001-61;RUA PEDRO THEOBALDO BREIDENBACH;2180;;CONVENTOS;95600-000;GLP;07/12/2023;109;;R$ / 13 kg;LIQUIGÁS
SE;SP;CAMPINAS;CLAVYGAS COMERCIO DE GAS LTDA; 08.044.081/0001-33;AVENIDA JACAUNA;928;;VILA AEROPORTO;13054-107;GLP;06/12/2023;99,99;;R$ / 13 kg;BRANCA
SE;SP;BRAGANCA PAULISTA;ANTÔNIO SERGIO DA CUNHA - ME; 07.409.739/0001-09;RUA EMÍLIA;658;;VILA MOTTA;12903-200;GLP;04/12/2023;100;;R$ / 13 kg;COPA ENERGIA
CO;GO;RIO VERDE;ALDENE ASSIS SANTOS; 08.215.313/0001-79;RUA PV 48 C/ AVENIDA BEIJA-FLOR;S/N;QD.41LT.01;CONJUNTO VALDECI PIRES;75904-340;GLP;06/12/2023;100;;R$ / 13 kg;BRANCA
SE;SP;BRAGANCA PAULISTA;ANGELO MARCOS TITANELLI; 05.820.412/0001-91;RUA DR ANTONIO DA CRUZ;37;;CENTRO;12900-351;GLP;04/12/2023;99,99;;R$ / 13 kg;BRANCA
